score,actions,loss,eps
3.6,3.14,0,0
474.3,293.6,0.4697277247905731,0
484.2,297.42,0.3595760464668274,0
503.1,303.02,0.34562090039253235,0
522.9,295.08,0.29051268100738525,0
521.8,293.56,0.34970200061798096,0
525.3,315.78,0.34245210886001587,0
499.3,318.2,0.3704925775527954,0
548.4,312.68,0.35642457008361816,0
534.9,314.66,0.35112103819847107,0
524.5,318.76,0.332022100687027,0
575.7,317.7,0.365058571100235,0
516.1,304.38,0.30763906240463257,0
460.9,318.2,0.3469715714454651,0
558.4,334.2,0.29574546217918396,0
537.0,321.84,0.365985244512558,0
535.8,320.0,0.32778745889663696,0
526.9,323.34,0.29181307554244995,0
510.5,316.12,0.3427917957305908,0
485.6,322.12,0.27628451585769653,0
508.2,317.84,0.3182017505168915,0
494.1,316.04,0.2860783338546753,0
463.9,312.34,0.27901574969291687,0
522.5,322.52,0.2959449291229248,0
439.6,322.8,0.19401812553405762,0
457.1,324.12,0.3862665891647339,0
471.6,317.36,0.27427059412002563,0
408.3,319.2,0.3126490116119385,0
408.0,306.72,0.25093841552734375,0
452.4,320.88,0.30587056279182434,0
491.3,332.0,0.2584981620311737,0
453.4,322.88,0.35263869166374207,0
461.3,327.96,0.1053272932767868,0
486.7,322.44,0.22961823642253876,0
424.9,332.08,0.16542702913284302,0
525.8,333.38,0.29717817902565,0
480.6,325.26,0.2749650776386261,0
509.1,333.3,0.20443624258041382,0
481.1,332.88,0.2217216193675995,0
581.9,337.16,0.35657578706741333,0
