score,actions,loss,eps
3.6,2.36,0,0
492.1,291.28,0.4901626408100128,0
509.0,283.48,0.4190016984939575,0
430.7,266.7,0.5119221806526184,0
442.7,275.08,0.413212388753891,0
534.7,297.44,0.4330585300922394,0
477.7,295.88,0.41315701603889465,0
555.3,308.5,0.43600526452064514,0
540.6,292.1,0.4887336790561676,0
515.1,287.42,0.46835243701934814,0
538.2,296.28,0.4942794442176819,0
524.0,289.54,0.473177969455719,0
480.5,281.26,0.4645535945892334,0
566.4,305.06,0.4494638442993164,0
530.1,304.18,0.42914295196533203,0
566.2,318.12,0.3989550769329071,0
570.4,312.06,0.4778740108013153,0
588.8,313.1,0.46164682507514954,0
633.6,313.04,0.4267413318157196,0
694.1,317.36,0.43262192606925964,0
723.2,319.92,0.44797712564468384,0
720.7,319.58,0.3835460841655731,0
710.4,323.34,0.45065292716026306,0
723.9,318.62,0.4093354344367981,0
656.6,320.94,0.35975292325019836,0
742.3,331.0,0.43959906697273254,0
925.5,355.0,0.4323224425315857,0
815.0,339.88,0.3228820264339447,0
854.2,337.18,0.4504731297492981,0
906.0,336.16,0.47594934701919556,0
906.0,345.12,0.4499197006225586,0
947.7,342.98,0.35965579748153687,0
941.7,348.2,0.4049358665943146,0
1058.1,358.76,0.4496675729751587,0
1013.4,352.18,0.32458725571632385,0
995.3,346.66,0.33643579483032227,0
978.9,351.04,0.4183925688266754,0
1097.5,372.58,0.36625388264656067,0
1092.6,359.78,0.29569774866104126,0
1025.9,364.64,0.417800635099411,0
1202.5,376.72,0.30159130692481995,0
1117.7,372.78,0.3682895302772522,0
1089.7,368.78,0.32753875851631165,0
1186.2,383.8,0.3261801600456238,0
1137.7,367.68,0.4031526744365692,0
1217.3,382.32,0.22721771895885468,0
1222.1,386.74,0.28629595041275024,0
1230.1,389.9,0.4424397349357605,0
1220.6,375.7,0.3683781027793884,0
1239.8,370.06,0.3323628008365631,0
1307.5,364.72,0.3209012746810913,0
1245.1,395.62,0.3044409453868866,0
1212.1,391.36,0.352800190448761,0
1333.1,381.76,0.4109051525592804,0
1263.8,379.26,0.35877370834350586,0
1374.1,391.34,0.40613919496536255,0
1469.2,414.1,0.30784374475479126,0
1204.6,381.62,0.2994825541973114,0
1360.2,388.44,0.22260306775569916,0
1403.7,400.78,0.4043096601963043,0
1251.8,386.68,0.3015197217464447,0
1326.4,397.16,0.2898193597793579,0
1324.0,385.2,0.3546949326992035,0
1295.7,377.46,0.28974542021751404,0
1406.6,393.44,0.3791172206401825,0
1398.8,406.5,0.3116302788257599,0
1425.5,404.56,0.3595462739467621,0
1430.7,403.16,0.2985656261444092,0
1428.3,393.0,0.22720663249492645,0
1578.2,413.16,0.33137404918670654,0
1442.8,395.18,0.2903718054294586,0
1405.9,394.0,0.2370459884405136,0
1542.8,393.9,0.38961800932884216,0
1500.0,393.6,0.39521273970603943,0
1474.8,389.84,0.3544814884662628,0
1573.9,407.78,0.22053661942481995,0
1427.4,409.28,0.3776647448539734,0
1454.3,403.3,0.2718634307384491,0
1428.0,406.86,0.18740975856781006,0
1497.3,400.6,0.3564318120479584,0
1552.1,412.6,0.3834912180900574,0
1535.6,408.46,0.4291263222694397,0
1537.0,408.4,0.32035142183303833,0
1606.4,413.72,0.3225620985031128,0
1624.0,418.54,0.31518906354904175,0
1587.4,406.08,0.3306671679019928,0
1528.1,411.36,0.29721516370773315,0
1505.5,416.32,0.28725433349609375,0
1549.9,412.12,0.25388914346694946,0
1506.9,394.8,0.3161819279193878,0
1448.9,397.9,0.34332460165023804,0
1585.9,410.72,0.3151792883872986,0
1526.7,408.7,0.2666902542114258,0
1588.1,397.98,0.3527696430683136,0
1487.6,398.54,0.2896951138973236,0
1550.0,414.22,0.32025039196014404,0
1522.3,412.1,0.32345855236053467,0
1467.9,407.2,0.4274522364139557,0
1611.3,404.3,0.4808099567890167,0
1501.0,404.54,0.29103323817253113,0
